target,n_pixels,nugget,sill,range_km,max_lag_km
copiapo,38,8.319500074545893e-17,0.04175436059838387,39.312704969652906,69.35021606645043
huasco,556,0.031432620366648865,0.09134717590377531,58.49157902631946,38.69130472845695
elqui,264,0.0035971099744475997,0.10101426237958983,20.928900888308792,40.78470684659263
limari,70,0.006968003711013075,0.05560271966864557,15.551934959040665,46.36566404764219
