stratum,fold,seed,episode,n_test,f1,auc
0,0,123,2,108,0.8863636363636364,0.8311965811965812
0,0,123,3,108,0.8819875776397516,0.8243589743589743
0,0,123,4,108,0.8452380952380952,0.7538461538461538
0,0,123,5,108,0.8771929824561403,0.8658119658119658
0,0,123,6,108,0.8588957055214724,0.8055555555555556
0,0,123,7,108,0.8837209302325582,0.9025641025641026
0,0,123,8,108,0.8953488372093024,0.8692307692307693
0,0,123,9,108,0.8994082840236687,0.8893162393162394
0,0,123,10,108,0.8850574712643678,0.9017094017094017
0,0,123,11,108,0.7310344827586207,0.6717948717948719
0,0,123,12,108,0.8588235294117647,0.8525641025641026
0,0,123,13,108,0.896551724137931,0.877991452991453
0,0,123,14,108,0.8850574712643678,0.7850427350427351
0,0,123,15,108,0.8705882352941177,0.9136752136752136
0,0,123,16,108,0.9044585987261147,0.8435897435897436
0,0,123,17,108,0.8863636363636364,0.9329059829059829
0,0,123,18,108,0.9005847953216374,0.8696581196581197
0,0,123,19,108,0.8571428571428571,0.8038461538461539
0,1,123,0,27,0.0,0.6285714285714286
0,1,123,1,27,0.0,0.5785714285714285
0,1,123,2,27,0.2222222222222222,0.7214285714285713
0,1,123,3,27,0.25,0.65
0,1,123,4,27,0.2222222222222222,0.6928571428571428
0,1,123,5,27,0.25,0.6
0,1,123,6,27,0.0,0.6785714285714286
0,1,123,7,27,0.0,0.55
0,1,123,8,27,0.0,0.5785714285714285
0,1,123,9,27,0.0,0.6285714285714286
0,1,123,10,27,0.0,0.5714285714285714
0,1,123,11,27,0.4,0.6857142857142857
0,1,123,12,27,0.25,0.6571428571428571
0,1,123,13,27,0.0,0.47142857142857136
0,1,123,14,27,0.2222222222222222,0.75
0,1,123,15,27,0.0,0.5428571428571429
0,1,123,16,27,0.25,0.6642857142857143
0,1,123,17,27,0.0,0.6428571428571428
0,1,123,18,27,0.0,0.6857142857142857
0,1,123,19,27,0.2,0.5785714285714285
0,2,123,0,71,0.611764705882353,0.5942691029900332
0,2,123,1,71,0.7368421052631579,0.8538205980066444
0,2,123,2,71,0.7472527472527473,0.7416943521594684
0,2,123,3,71,0.7692307692307693,0.8048172757475083
0,2,123,4,71,0.38596491228070173,0.7425249169435216
0,2,123,5,71,0.7435897435897436,0.7632890365448505
0,2,123,6,71,0.8,0.8920265780730897
0,2,123,7,71,0.6461538461538462,0.8995016611295681
0,2,123,8,71,0.6486486486486487,0.7018272425249169
0,2,123,9,71,0.7142857142857143,0.8737541528239203
0,2,123,10,71,0.7567567567567568,0.893687707641196
0,2,123,11,71,0.7297297297297297,0.7483388704318936
0,2,123,12,71,0.704225352112676,0.8621262458471761
0,2,123,13,71,0.676923076923077,0.9310631229235881
0,2,123,14,71,0.7246376811594203,0.8330564784053156
0,2,123,15,71,0.7142857142857143,0.840531561461794
0,2,123,16,71,0.7951807228915663,0.8903654485049833
0,2,123,17,71,0.7323943661971831,0.9069767441860466
0,2,123,18,71,0.6571428571428571,0.8064784053156147
0,2,123,19,71,0.7397260273972602,0.8147840531561461
0,0,7,0,106,0.8848484848484849,0.8376831501831502
0,0,7,1,106,0.8727272727272727,0.8246336996336997
0,0,7,2,106,0.8607594936708861,0.8424908424908425
0,0,7,3,106,0.8771929824561403,0.8585164835164836
0,0,7,4,106,0.8914285714285715,0.8704212454212454
0,0,7,5,106,0.8901734104046243,0.8745421245421245
0,0,7,6,106,0.8181818181818182,0.7362637362637363
0,0,7,7,106,0.8994082840236687,0.8777472527472527
0,0,7,8,106,0.8863636363636364,0.8635531135531136
0,0,7,9,106,0.8789808917197452,0.8695054945054945
0,0,7,10,106,0.8994082840236687,0.8786630036630036
0,0,7,11,106,0.896551724137931,0.7385531135531136
0,0,7,12,106,0.8571428571428571,0.8097527472527472
0,0,7,13,106,0.8789808917197452,0.8580586080586081
0,0,7,14,106,0.8554216867469879,0.8095238095238096
0,0,7,15,106,0.9012345679012346,0.9052197802197802
0,0,7,16,106,0.8518518518518519,0.7408424908424909
0,0,7,17,106,0.8266666666666667,0.7641941391941391
0,0,7,18,106,0.896969696969697,0.8667582417582418
0,0,7,19,106,0.891566265060241,0.8170787545787547
0,1,7,0,27,0.0,0.5214285714285715
0,1,7,1,27,0.0,0.5857142857142857
0,1,7,2,27,0.4,0.7214285714285715
0,1,7,3,27,0.4,0.7571428571428572
0,1,7,4,27,0.4,0.7571428571428571
0,1,7,5,27,0.0,0.7071428571428571
0,1,7,6,27,0.2222222222222222,0.6857142857142857
0,1,7,7,27,0.25,0.5571428571428572
0,1,7,8,27,0.3333333333333333,0.5428571428571429
0,1,7,9,27,0.2222222222222222,0.7571428571428571
0,1,7,10,27,0.18181818181818182,0.7142857142857142
0,1,7,11,27,0.2,0.8357142857142856
0,1,7,12,27,0.18181818181818182,0.7142857142857142
0,1,7,13,27,0.0,0.6785714285714286
0,1,7,14,27,0.2222222222222222,0.5642857142857143
0,1,7,15,27,0.2222222222222222,0.8357142857142856
0,1,7,16,27,0.2222222222222222,0.657142857142857
0,1,7,17,27,0.0,0.5285714285714285
0,1,7,18,27,0.2222222222222222,0.7214285714285714
0,1,7,19,27,0.0,0.7142857142857143
0,2,7,0,73,0.7671232876712328,0.834108527131783
0,2,7,1,73,0.6857142857142857,0.8015503875968992
0,2,7,2,73,0.7368421052631579,0.7875968992248062
0,2,7,3,73,0.7397260273972602,0.9062015503875969
0,2,7,4,73,0.6865671641791045,0.8736434108527132
0,2,7,5,73,0.5079365079365079,0.7511627906976744
0,2,7,6,73,0.5970149253731343,0.8317829457364341
0,2,7,7,73,0.7397260273972602,0.8589147286821704
0,2,7,8,73,0.7733333333333333,0.9155038759689922
0,2,7,9,73,0.6585365853658537,0.6891472868217055
0,2,7,10,73,0.8395061728395061,0.9302325581395348
0,2,7,11,73,0.7733333333333333,0.8147286821705427
0,2,7,12,73,0.5538461538461539,0.8852713178294573
0,2,7,13,73,0.7792207792207793,0.803875968992248
0,2,7,14,73,0.6197183098591549,0.7813953488372093
0,2,7,15,73,0.5970149253731343,0.8155038759689922
0,2,7,16,73,0.5714285714285714,0.8364341085271318
0,2,7,17,73,0.6944444444444444,0.7829457364341086
0,2,7,18,73,0.85,0.9426356589147287
0,2,7,19,73,0.6461538461538462,0.9031007751937984
