target,K,method,step,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,5,fomaml,100,0.7890098760561737,0.7697618640588065,0.8089236195191413,0.8841111111111111,0.8642777777777779,0.9013902777777778
copiapo,5,fomaml,200,0.787918640341615,0.7688033297427675,0.807672798704364,0.8830555555555555,0.8636097222222223,0.9003361111111113
copiapo,5,independent,0,0.4066577074982717,0.34696836581466556,0.4626412075236062,0.5084444444444445,0.46599444444444443,0.5507888888888889
copiapo,5,independent,1,0.5942599736151957,0.5439641606385718,0.6409881173418417,0.7686666666666669,0.7402194444444443,0.7963388888888889
copiapo,5,independent,2,0.6564205271730584,0.6207867093325803,0.6904099752307963,0.8010000000000002,0.7744138888888891,0.8254444444444445
copiapo,5,independent,3,0.6816717814191677,0.6498353204350169,0.7099928626952283,0.8083333333333333,0.7823222222222223,0.8313333333333334
copiapo,5,independent,5,0.7110316478655195,0.6818835433545091,0.7375435523390336,0.8181111111111112,0.7909888888888891,0.8421138888888889
copiapo,5,independent,10,0.753006639467132,0.7304312373154505,0.7750526928528053,0.8378888888888889,0.812888888888889,0.859113888888889
copiapo,5,independent,20,0.7617702671700891,0.7396736203370479,0.7828253827024654,0.8557777777777777,0.8333291666666665,0.8753902777777779
copiapo,5,independent,50,0.7600870576801313,0.7376354088197884,0.7799357561837832,0.8597777777777778,0.837213888888889,0.8800083333333333
copiapo,5,independent,100,0.7650106969383602,0.7426383150346941,0.7846609666624931,0.8599444444444444,0.8376055555555556,0.8798902777777777
copiapo,5,independent,200,0.7646407503327157,0.7422195603829917,0.7844218786385274,0.8601111111111113,0.8379972222222222,0.8800583333333335
copiapo,5,reptile,0,0.7267840978936012,0.7075861993296035,0.743489103691851,0.8424444444444442,0.8278777777777778,0.8556694444444445
copiapo,5,reptile,1,0.7994696542584249,0.7765919607079089,0.8208850429213959,0.8843333333333332,0.8687777777777778,0.8978916666666665
copiapo,5,reptile,2,0.7917405194004331,0.7685603133709227,0.8123693949546537,0.8905555555555554,0.874325,0.9055583333333337
copiapo,5,reptile,3,0.7921626113489457,0.7720137586641677,0.8126740200414567,0.8815555555555556,0.8652083333333332,0.8971194444444444
copiapo,5,reptile,5,0.7832050990595957,0.7628315224391309,0.8034894524955452,0.8691111111111111,0.850875,0.8854472222222224
copiapo,5,reptile,10,0.7841557779485719,0.7644035376641494,0.8028689469076542,0.8691111111111111,0.8507750000000001,0.8855583333333333
copiapo,5,reptile,20,0.7852746327179105,0.7642744391429528,0.8066501839046575,0.8711666666666666,0.8525527777777779,0.8887805555555555
copiapo,5,reptile,50,0.786438068072915,0.7657875081873601,0.8068581661774441,0.8721666666666668,0.8539402777777778,0.8891791666666665
copiapo,5,reptile,100,0.7852350309202212,0.7644969501120144,0.8058406772884664,0.8716111111111113,0.8536638888888887,0.8884458333333334
copiapo,5,reptile,200,0.7847476422177296,0.7641044708817569,0.8050521955449306,0.872277777777778,0.8544972222222222,0.8889458333333333
elqui,5,finetune,0,0.4701447930796878,0.4433538326889132,0.4974084931035338,0.607,0.5803333333333334,0.631788888888889
elqui,5,finetune,1,0.6522295289761881,0.6254305370970281,0.6756730644924135,0.6732222222222223,0.6474388888888888,0.6974472222222222
elqui,5,finetune,2,0.7015655986520972,0.6806667678624073,0.7231159447780067,0.7295555555555555,0.7039972222222222,0.7541194444444445
elqui,5,finetune,3,0.7127380304852206,0.6888396169973637,0.7348779753903387,0.7673333333333333,0.7443333333333334,0.7903333333333333
elqui,5,finetune,5,0.7172285829205316,0.6932838763783611,0.7406925423139343,0.7943333333333334,0.7729972222222221,0.8148888888888888
elqui,5,finetune,10,0.7261439387195938,0.70314246695029,0.7470960582610888,0.8132222222222222,0.7931055555555555,0.8335583333333333
elqui,5,finetune,20,0.7314656151091199,0.7093198694366422,0.7527021294789943,0.824,0.8026666666666668,0.844786111111111
elqui,5,finetune,50,0.730156798441574,0.7026540417704671,0.7545269339779845,0.8229444444444444,0.8008291666666667,0.8448347222222222
elqui,5,finetune,100,0.731813260547177,0.7039491207842437,0.7562582179293269,0.8220555555555555,0.7997736111111111,0.843726388888889
elqui,5,finetune,200,0.7309722728488282,0.7029106502503386,0.7553459061188218,0.8217222222222222,0.7992194444444445,0.8435152777777777
elqui,5,fomaml,0,0.7245350841208965,0.7074170737094079,0.7407560860234773,0.7959999999999998,0.7741083333333333,0.8168944444444445
elqui,5,fomaml,1,0.7294970744429172,0.7116244658588861,0.7470730166752478,0.8272222222222223,0.8069944444444443,0.8464499999999999
elqui,5,fomaml,2,0.7453433674848248,0.725533295240287,0.7646752979948289,0.8345555555555555,0.8131027777777777,0.8548916666666668
elqui,5,fomaml,3,0.7484005727638486,0.7259609446954193,0.7701834028800634,0.8364444444444444,0.8135527777777779,0.8579027777777776
elqui,5,fomaml,5,0.7430057397427313,0.7158250337303611,0.7671051892940783,0.8394444444444444,0.81455,0.8611333333333333
elqui,5,fomaml,10,0.7434694722739247,0.7173974073092269,0.7687011927280625,0.8423888888888889,0.8186583333333333,0.8646111111111111
elqui,5,fomaml,20,0.7483081412415852,0.7206403684637349,0.7742176955518459,0.8469444444444444,0.8234361111111111,0.868613888888889
elqui,5,fomaml,50,0.7494948353128608,0.7228270323840835,0.7743027869431187,0.8418333333333333,0.8164291666666668,0.8640055555555557
elqui,5,fomaml,100,0.7491583441068045,0.7219504361353145,0.7736851235505464,0.8418333333333333,0.8162208333333333,0.8643347222222222
elqui,5,fomaml,200,0.7477214184593524,0.7207172465188342,0.7720015993974467,0.8419999999999999,0.8166069444444445,0.8641680555555558
elqui,5,independent,0,0.41546089758124605,0.35306615830431914,0.473990033528703,0.49388888888888893,0.4481083333333333,0.5427861111111111
elqui,5,independent,1,0.6175332682194287,0.566456557425518,0.665179824130876,0.7991111111111111,0.7690999999999999,0.8232250000000001
elqui,5,independent,2,0.7020182155726569,0.670272509608351,0.7317294529633763,0.8203333333333334,0.7939944444444443,0.8431194444444446
elqui,5,independent,3,0.7346715011262205,0.7095859180493855,0.7592071469656224,0.8273333333333335,0.8008861111111111,0.8503361111111112
elqui,5,independent,5,0.7461839980089409,0.7204972280855835,0.7720449161263309,0.8358888888888889,0.8112166666666665,0.8575583333333334
elqui,5,independent,10,0.7672816461659285,0.7391239966504134,0.7948338034801712,0.8516666666666667,0.8292222222222222,0.8714472222222223
elqui,5,independent,20,0.7705370419278751,0.7395144082450333,0.7961634942732304,0.8632777777777778,0.8387180555555556,0.8841708333333334
elqui,5,independent,50,0.7680406357752645,0.7378512981081783,0.7953542784521036,0.8614444444444445,0.8376097222222223,0.8839458333333332
elqui,5,independent,100,0.7677222472112618,0.7374814702216729,0.7946523350082058,0.861,0.8364902777777777,0.8841125
elqui,5,independent,200,0.7679415372017189,0.7372692692995223,0.7952991241639304,0.859388888888889,0.834988888888889,0.8823416666666666
elqui,5,reptile,0,0.7446799955590883,0.7268040837023597,0.7626857854227277,0.7936666666666667,0.7725527777777778,0.814113888888889
elqui,5,reptile,1,0.7463429488544279,0.7257412167469695,0.7677258347849666,0.82,0.8002166666666666,0.8394472222222222
elqui,5,reptile,2,0.7430960549061535,0.7194320050728173,0.7637679716343311,0.8334444444444445,0.8135388888888889,0.8533388888888891
elqui,5,reptile,3,0.7345609463537551,0.7095493887214444,0.7581294283937214,0.8343333333333333,0.815325,0.8540027777777778
elqui,5,reptile,5,0.732134695619567,0.7090252585430225,0.7545356879136005,0.8278888888888888,0.8092111111111113,0.8468916666666668
elqui,5,reptile,10,0.7548562708632629,0.7288503019733524,0.7791580747494361,0.8291111111111111,0.8093277777777778,0.8486722222222225
elqui,5,reptile,20,0.7540636323516328,0.7288694480027256,0.7779466998293436,0.8333333333333334,0.8138305555555556,0.851951388888889
elqui,5,reptile,50,0.757682484674169,0.7336511216507731,0.7811478339249701,0.8358888888888891,0.8172652777777779,0.8549444444444445
elqui,5,reptile,100,0.7564954621068574,0.7323747427885521,0.779899123523924,0.8371111111111111,0.8186111111111111,0.8558902777777779
elqui,5,reptile,200,0.7573124555709096,0.7338606126882229,0.7806637267038299,0.8362777777777777,0.8176069444444444,0.8552305555555556
elqui,10,finetune,0,0.4770706623957397,0.44633434649333764,0.507171305696654,0.6437777777777778,0.6169888888888889,0.6697805555555555
elqui,10,finetune,1,0.6824243725876068,0.6584379759963991,0.7050180696870022,0.7129999999999999,0.6873305555555556,0.7358944444444445
elqui,10,finetune,2,0.7367899050591203,0.7169780468050434,0.7565264765627859,0.7765555555555554,0.7529944444444444,0.7977861111111112
elqui,10,finetune,3,0.7527186344679053,0.7330976556290876,0.7713943216428207,0.8167777777777778,0.7961055555555554,0.8366694444444445
elqui,10,finetune,5,0.7804171506483841,0.76214623771251,0.7975892725145014,0.8424444444444443,0.8242166666666667,0.8603361111111112
elqui,10,finetune,10,0.7866166743647562,0.7671979866098747,0.8052076692623568,0.8531111111111112,0.8343305555555555,0.8700055555555556
elqui,10,finetune,20,0.7958566577557843,0.7768768886919669,0.8138979460324853,0.8620555555555557,0.8433319444444447,0.8794999999999998
elqui,10,finetune,50,0.7839086424184613,0.7620488447190149,0.8022017609055606,0.861,0.8413847222222222,0.8792819444444447
elqui,10,finetune,100,0.7861832683772977,0.7639953219967691,0.8051560946557955,0.862388888888889,0.8424444444444443,0.8805569444444443
elqui,10,finetune,200,0.7846932712427546,0.761997424337062,0.8047278775083474,0.8615000000000002,0.8418319444444444,0.879501388888889
elqui,10,fomaml,0,0.7332087236186039,0.7160598650949105,0.7499340284838206,0.7971111111111112,0.7761083333333331,0.8155694444444445
elqui,10,fomaml,1,0.7415258174253553,0.722625093177439,0.7594238446994528,0.8366666666666667,0.8142222222222221,0.8563333333333333
elqui,10,fomaml,2,0.753701685194551,0.7345523109778063,0.7729070923477427,0.8534444444444447,0.8324416666666666,0.8736666666666666
elqui,10,fomaml,3,0.7663547478165417,0.7447666892744663,0.7880167079754059,0.8607777777777778,0.8411083333333333,0.8797805555555557
elqui,10,fomaml,5,0.7766891707066399,0.7535240384560393,0.7982488953238467,0.8706666666666667,0.852777777777778,0.888225
elqui,10,fomaml,10,0.7869010897419835,0.7639422881389161,0.806723209485874,0.8758888888888888,0.8565527777777778,0.8927833333333335
elqui,10,fomaml,20,0.794089188652275,0.7708739474534753,0.8150653574187304,0.8810555555555556,0.8612750000000001,0.8993333333333333
elqui,10,fomaml,50,0.786521656407038,0.7612866840713433,0.808384258491808,0.8734444444444445,0.8531097222222223,0.8932236111111111
elqui,10,fomaml,100,0.7907179442496219,0.7673282694848736,0.811013417280693,0.8748333333333334,0.8550500000000001,0.8940569444444445
elqui,10,fomaml,200,0.7896271362385241,0.7662234749431057,0.8097741127567686,0.8753333333333332,0.8561624999999999,0.8946708333333333
elqui,10,independent,0,0.4339679866087058,0.37571284972100794,0.48918477573943425,0.5184444444444444,0.4765277777777779,0.5597916666666667
elqui,10,independent,1,0.6130556296416813,0.5587485290642442,0.6673322992004779,0.8115555555555556,0.7843249999999999,0.833677777777778
elqui,10,independent,2,0.7063108517442883,0.674346459781276,0.7373152862680137,0.8347777777777778,0.8114416666666665,0.8549999999999999
elqui,10,independent,3,0.7375583834004663,0.7143450616910622,0.7610034344893791,0.8427777777777777,0.8208833333333334,0.8627833333333335
elqui,10,independent,5,0.7634007777249951,0.7421526407148343,0.7828182082648092,0.85,0.8283333333333333,0.8693333333333333
elqui,10,independent,10,0.7895414595890208,0.7701259193169443,0.808057628452455,0.8725555555555555,0.8535416666666668,0.8903361111111111
elqui,10,independent,20,0.7908826000563336,0.7707942590719267,0.8083886873983117,0.8846666666666667,0.8657750000000002,0.9014472222222222
elqui,10,independent,50,0.7939872294987385,0.7728424393434264,0.8133329793530105,0.8827222222222223,0.8640555555555556,0.8989472222222222
elqui,10,independent,100,0.7958971079282247,0.7748290506792829,0.8148615057426863,0.8830555555555557,0.8640513888888889,0.8991680555555556
elqui,10,independent,200,0.7953821842554063,0.7740010097918464,0.8143664664567181,0.8816111111111112,0.8628291666666665,0.8978375000000001
elqui,10,reptile,0,0.7351412602266613,0.7153004067510506,0.7527348815737506,0.7787777777777778,0.7535555555555556,0.8004472222222223
elqui,10,reptile,1,0.7697748167867446,0.7520747460568926,0.7847408944741693,0.8277777777777777,0.8056666666666669,0.8466666666666667
elqui,10,reptile,2,0.7806903863566043,0.7632508436045168,0.7975413670757302,0.8502222222222222,0.830888888888889,0.8670055555555558
elqui,10,reptile,3,0.7801884349293524,0.7568618620884984,0.8001358922165408,0.8587777777777779,0.840888888888889,0.8752250000000001
elqui,10,reptile,5,0.7900494564114837,0.7694342374300345,0.8091454732437379,0.865777777777778,0.8494305555555556,0.8814444444444443
elqui,10,reptile,10,0.8110324075026593,0.7923378447073204,0.828327404635011,0.8774444444444446,0.8621083333333334,0.8910027777777779
elqui,10,reptile,20,0.8077991871767392,0.7888887062448894,0.8237472516005994,0.8843333333333334,0.8701111111111112,0.8977777777777779
elqui,10,reptile,50,0.8045037726930758,0.7846518019089612,0.8217614399749837,0.8831666666666667,0.8683291666666668,0.8973888888888888
elqui,10,reptile,100,0.8082595003961719,0.788243517642015,0.826540393492148,0.8837222222222221,0.8687166666666667,0.8979999999999999
elqui,10,reptile,200,0.8095192997261468,0.7895728838544408,0.8270415232090341,0.8836666666666667,0.8691041666666668,0.8979444444444445
huasco,5,finetune,0,0.6296138275367197,0.6002412351895738,0.6600704711149533,0.8042222222222221,0.780875,0.8271166666666667
huasco,5,finetune,1,0.7472405071791487,0.7256589008934519,0.7683893244441908,0.8477777777777779,0.8273277777777777,0.8673416666666667
huasco,5,finetune,2,0.787765026527758,0.7657791393944335,0.8084382678375113,0.8728888888888889,0.8534388888888889,0.8914472222222223
huasco,5,finetune,3,0.7949849439134673,0.7738396313086098,0.8159470309200196,0.8805555555555558,0.8624416666666667,0.897222222222222
huasco,5,finetune,5,0.7984581643892003,0.777589456799613,0.8205515308940454,0.8881111111111111,0.8711083333333334,0.904225
huasco,5,finetune,10,0.7930869308464992,0.7716809153604539,0.8161880269426708,0.8913888888888888,0.8741666666666666,0.9080625000000001
huasco,5,finetune,20,0.7897318188567571,0.7683018106728958,0.8112600829899731,0.8938333333333333,0.8757208333333335,0.9102777777777777
huasco,5,finetune,50,0.7912369675772856,0.7679300730475781,0.8156555541381506,0.8955,0.8769986111111112,0.912726388888889
huasco,5,finetune,100,0.793802024684901,0.7720888788372149,0.8159334261470167,0.8952222222222223,0.8769375000000001,0.9128347222222223
huasco,5,finetune,200,0.7948270385551833,0.7733307594678667,0.8172232400047409,0.8953333333333333,0.8771097222222222,0.913223611111111
huasco,5,fomaml,0,0.782222940350324,0.7621667852177767,0.8000519240075685,0.852111111111111,0.83255,0.8698916666666667
huasco,5,fomaml,1,0.812922845298894,0.7920531394961791,0.8324291145995569,0.8717777777777778,0.8528833333333335,0.8895611111111114
huasco,5,fomaml,2,0.8258173534137997,0.8059890667881447,0.8447619285470085,0.879,0.8593249999999999,0.8966694444444443
huasco,5,fomaml,3,0.8115969041859696,0.7886382921124251,0.8330434555079301,0.8858888888888887,0.8677750000000001,0.9026666666666666
huasco,5,fomaml,5,0.80409761104904,0.7768888324032986,0.8300764184042086,0.8874444444444444,0.8681055555555555,0.9047777777777777
huasco,5,fomaml,10,0.8134903294193464,0.7899219259037148,0.8361619051681671,0.8899444444444443,0.8701111111111113,0.9072222222222223
huasco,5,fomaml,20,0.8107270011878078,0.7876798158832163,0.8328460321252337,0.8897222222222221,0.8691097222222224,0.9076708333333332
huasco,5,fomaml,50,0.8077789966232779,0.7848524882798393,0.828549004310174,0.8878333333333335,0.8674263888888888,0.906002777777778
huasco,5,fomaml,100,0.8089894503185884,0.7852509204078785,0.8301343110535213,0.8867222222222223,0.8660527777777777,0.9052236111111112
huasco,5,fomaml,200,0.8083253394485277,0.7848300773791559,0.8297796848740616,0.8851111111111111,0.8636597222222222,0.9032277777777779
huasco,5,independent,0,0.3755826350520567,0.3108030360128818,0.44062806262445847,0.5025555555555556,0.44943333333333335,0.5546666666666666
huasco,5,independent,1,0.6410998512097807,0.5848219102000736,0.696926564088368,0.8262222222222222,0.799863888888889,0.8502305555555555
huasco,5,independent,2,0.7194390387949862,0.6829385739330673,0.7538067346036452,0.8343333333333334,0.8084416666666668,0.8581166666666667
huasco,5,independent,3,0.7402017835691278,0.7107535957273085,0.7688810225632756,0.8402222222222223,0.8151083333333333,0.8633361111111112
huasco,5,independent,5,0.7470163700419006,0.7169033576084463,0.7751679284507083,0.8475555555555556,0.8234444444444444,0.8703333333333332
huasco,5,independent,10,0.7747264011769328,0.7514412978224752,0.7981241183913178,0.860111111111111,0.8349972222222221,0.8822277777777778
huasco,5,independent,20,0.7863389119899641,0.758187095393547,0.8116133466344997,0.8702222222222223,0.8464388888888886,0.8913388888888889
huasco,5,independent,50,0.7829063336982751,0.7551119679049946,0.8083027048299768,0.8700555555555556,0.8466652777777778,0.8916180555555556
huasco,5,independent,100,0.7828528329430201,0.7541472343295577,0.8083358918330986,0.8692777777777779,0.8454986111111111,0.8914458333333334
huasco,5,independent,200,0.7811508312410183,0.7515421936206473,0.8073099451530065,0.8704444444444444,0.8471597222222221,0.8925555555555555
huasco,5,reptile,0,0.7915797279501683,0.7741578590011847,0.8089325728763641,0.8645555555555554,0.8453333333333335,0.8833361111111111
huasco,5,reptile,1,0.8182224807974798,0.7956294040550368,0.8397396624105883,0.9061111111111112,0.8887777777777779,0.9227777777777777
huasco,5,reptile,2,0.8139285226563236,0.7877703186294205,0.8395410157466243,0.9134444444444444,0.8973305555555556,0.9298888888888889
huasco,5,reptile,3,0.8070135418383951,0.7817938326288401,0.8321863382653276,0.9154444444444445,0.8993277777777777,0.9315583333333336
huasco,5,reptile,5,0.8002518982499015,0.7740511264938471,0.8293859287707135,0.9101111111111111,0.893552777777778,0.9268888888888885
huasco,5,reptile,10,0.8032308082794466,0.7771289511442943,0.8304741462071297,0.8980555555555556,0.8793875,0.9152263888888891
huasco,5,reptile,20,0.807116051888565,0.7842554809743416,0.8302832759611546,0.8969444444444442,0.8756624999999998,0.9177847222222222
huasco,5,reptile,50,0.8105979587858039,0.7881567452951528,0.8321816462552037,0.8982222222222221,0.8761666666666668,0.9186694444444445
huasco,5,reptile,100,0.8112425540330821,0.7901534385975963,0.8319562312944638,0.8974999999999999,0.8756513888888887,0.9180041666666667
huasco,5,reptile,200,0.8119002675881126,0.7909984032624445,0.8329879802370967,0.897611111111111,0.8754972222222223,0.9182791666666666
huasco,10,finetune,0,0.6123250141422171,0.5835201477007294,0.6421735963314125,0.776888888888889,0.753663888888889,0.8018944444444444
huasco,10,finetune,1,0.7742016492595081,0.752122042972279,0.7946550317658441,0.8441111111111113,0.8247694444444446,0.8643361111111112
huasco,10,finetune,2,0.8225873699882014,0.8039537807101655,0.8401477795902517,0.8875555555555555,0.8702138888888891,0.9048916666666666
huasco,10,finetune,3,0.8389809998648035,0.8201109075189482,0.857490198699371,0.901888888888889,0.8861055555555555,0.9170055555555557
huasco,10,finetune,5,0.8516483359404494,0.8343864874907655,0.8690418434406784,0.9117777777777778,0.8979972222222221,0.9257833333333336
huasco,10,finetune,10,0.8601542907685502,0.843486504835408,0.8766186661909505,0.9216666666666665,0.9077777777777778,0.935113888888889
huasco,10,finetune,20,0.8543395875191316,0.8384845671039416,0.869637597620365,0.9181111111111112,0.903773611111111,0.9320569444444445
huasco,10,finetune,50,0.8473776765943724,0.8314334003730316,0.8644264605822295,0.9126111111111112,0.8969416666666666,0.9285583333333335
huasco,10,finetune,100,0.8482643831866472,0.8321952552411452,0.8654598573499699,0.9142777777777777,0.900111111111111,0.9288347222222222
huasco,10,finetune,200,0.8484331552852439,0.8322784944656887,0.8655518491074169,0.9131111111111112,0.8992208333333334,0.9277819444444445
huasco,10,fomaml,0,0.7686554779685905,0.7509847960890612,0.7860290568479893,0.8643333333333334,0.8502194444444444,0.8782222222222221
huasco,10,fomaml,1,0.8250580444368304,0.8090780810328584,0.8397969409485203,0.8989999999999999,0.887,0.9104444444444444
huasco,10,fomaml,2,0.8537110599907297,0.838170674724686,0.8686871645566342,0.9156666666666667,0.9035500000000001,0.9268944444444445
huasco,10,fomaml,3,0.8674649930085833,0.8518426416433327,0.8810291093831611,0.9256666666666665,0.913886111111111,0.9366694444444444
huasco,10,fomaml,5,0.8696347192306719,0.8531608263508195,0.885244934177047,0.9340000000000002,0.9226666666666667,0.9447805555555554
huasco,10,fomaml,10,0.86074353778217,0.8429736476558279,0.8771018592113512,0.9362222222222223,0.9242194444444445,0.9468888888888889
huasco,10,fomaml,20,0.8587326430468172,0.8415345724841954,0.873980290591454,0.9310555555555557,0.9180527777777777,0.9431694444444445
huasco,10,fomaml,50,0.8536013298291756,0.8367286551396405,0.869291607186372,0.9230555555555557,0.9094986111111112,0.9353902777777778
huasco,10,fomaml,100,0.8527690768423033,0.836212711927955,0.868985799988812,0.9209444444444445,0.9074444444444445,0.9334458333333335
huasco,10,fomaml,200,0.8538368979101244,0.8371037182565203,0.8699376035577074,0.9198333333333335,0.9066652777777778,0.9321694444444444
huasco,10,independent,0,0.4138622145675417,0.3567204284224283,0.4735576439619236,0.4897777777777777,0.43510277777777784,0.5468111111111111
huasco,10,independent,1,0.7200029264273797,0.6801903763082416,0.7586418907469047,0.8674444444444446,0.845888888888889,0.8873333333333333
huasco,10,independent,2,0.7978949504751094,0.7717489935496662,0.821740739877892,0.8804444444444444,0.8605527777777776,0.9000083333333333
huasco,10,independent,3,0.8118147090151622,0.7900130803625223,0.8321012698708996,0.8819999999999999,0.8613222222222222,0.9017805555555556
huasco,10,independent,5,0.8329343696092923,0.8130711627879124,0.8511528087621336,0.8881111111111112,0.8673194444444445,0.9081166666666668
huasco,10,independent,10,0.85207620248016,0.8341500214412866,0.8704246736401915,0.9027777777777778,0.8835500000000001,0.9217805555555557
huasco,10,independent,20,0.8494502813841442,0.8322823246732198,0.8672283255079839,0.9075555555555557,0.8896027777777779,0.9255013888888889
huasco,10,independent,50,0.8481421039737098,0.8328444057817134,0.8653104867773642,0.9013333333333332,0.8837180555555555,0.9201694444444446
huasco,10,independent,100,0.8451620363254501,0.8293651828831294,0.8633807371485064,0.9004444444444445,0.8833888888888889,0.9186694444444444
huasco,10,independent,200,0.8458076372990447,0.830325129559107,0.8642818964170492,0.9012222222222223,0.8838305555555555,0.9188986111111109
huasco,10,reptile,0,0.7873900784956108,0.7658401300116089,0.8072691393357511,0.8655555555555556,0.8474416666666666,0.8814472222222223
huasco,10,reptile,1,0.833517465012731,0.8127073276690654,0.8526090973707745,0.9066666666666666,0.8903333333333333,0.9213333333333333
huasco,10,reptile,2,0.851450966655144,0.8325263893680118,0.8700026152650306,0.922,0.9069916666666666,0.9355555555555556
huasco,10,reptile,3,0.8411762068341017,0.8185727352389953,0.8617833592917555,0.9203333333333334,0.9051027777777778,0.9346666666666665
huasco,10,reptile,5,0.8471134038010466,0.8300690942593566,0.8634251580919424,0.9144444444444446,0.8992222222222223,0.9286694444444445
huasco,10,reptile,10,0.8475012693849908,0.8272180741428986,0.8656127213040744,0.9108888888888891,0.8962194444444443,0.9253333333333333
huasco,10,reptile,20,0.8505638113240451,0.8319004000039022,0.867871241888337,0.9108333333333333,0.8961097222222221,0.9254472222222222
huasco,10,reptile,50,0.8466266963475348,0.8282612774392156,0.865332362882076,0.9087777777777778,0.8943319444444445,0.9229527777777777
huasco,10,reptile,100,0.8436055913966053,0.825206761984882,0.8622367334501315,0.9092222222222224,0.8938333333333334,0.9237791666666667
huasco,10,reptile,200,0.8422019702510569,0.8241539243236251,0.8605114931694888,0.9094999999999999,0.8943874999999999,0.9240569444444445
limari,5,finetune,0,0.3954728282076063,0.3666544309281667,0.42612171504154217,0.6544444444444444,0.6295527777777778,0.6781138888888888
limari,5,finetune,1,0.5572222388418302,0.5254187028295702,0.5876435089522829,0.6958888888888889,0.6713277777777777,0.7193416666666667
limari,5,finetune,2,0.6373076320745141,0.6073511579820622,0.6644542944738456,0.7345555555555555,0.7082166666666666,0.7596722222222223
limari,5,finetune,3,0.6730483902519394,0.6460042409765476,0.6982011984763467,0.7577777777777778,0.7295555555555555,0.7816722222222222
limari,5,finetune,5,0.6822621538626159,0.6571148033996635,0.7047965618015484,0.7482222222222222,0.722875,0.7716666666666667
limari,5,finetune,10,0.6764643030426447,0.6506159507261191,0.7005574700106124,0.7502222222222221,0.7236611111111112,0.7756666666666667
limari,5,finetune,20,0.6689084568878544,0.6427833428892621,0.6942267419969347,0.747,0.718777777777778,0.7743444444444444
limari,5,finetune,50,0.6796387301111055,0.6513212993414421,0.7060067602006708,0.7327777777777779,0.7029430555555556,0.7600055555555556
limari,5,finetune,100,0.6797996860469303,0.6508726792323828,0.7067038904851668,0.729888888888889,0.6997138888888889,0.7578375
limari,5,finetune,200,0.6845431913023707,0.6563915581018822,0.7127520192116918,0.7287777777777779,0.6981569444444445,0.7567236111111112
limari,5,fomaml,0,0.587208210786171,0.5683526201486054,0.6061672773159031,0.633888888888889,0.6128805555555555,0.6533444444444445
limari,5,fomaml,1,0.6349431223025396,0.6158623268556496,0.6552527057095654,0.6704444444444444,0.648886111111111,0.6918944444444445
limari,5,fomaml,2,0.6907654833017675,0.6674945620597488,0.7147110302412787,0.7257777777777779,0.7027694444444444,0.7494444444444445
