target,K,method,seed,episode,f1,auc
huasco,1,dann,42,2,0.8,0.875
huasco,1,dann,42,3,0.75,0.94
huasco,1,dann,42,4,0.8,0.8600000000000001
huasco,1,dann,42,5,0.7692307692307693,0.88
huasco,1,dann,42,6,0.6666666666666666,0.9
huasco,1,dann,42,7,0.0,0.86
huasco,1,dann,42,8,0.8571428571428571,0.9000000000000001
huasco,1,dann,42,9,0.6,0.7
huasco,1,dann,42,10,0.5714285714285714,0.6699999999999999
huasco,1,dann,42,11,0.631578947368421,0.85
huasco,1,dann,42,12,0.5,0.65
huasco,1,dann,42,13,0.7619047619047619,0.8899999999999999
huasco,1,dann,42,14,0.7368421052631579,0.8300000000000001
huasco,1,dann,42,15,0.8181818181818182,0.8049999999999999
huasco,1,dann,42,16,0.8,0.9400000000000001
huasco,1,dann,42,17,0.4,0.74
huasco,1,dann,42,18,0.6666666666666666,0.79
huasco,1,dann,42,19,0.6,0.8
huasco,1,dann,42,20,0.7619047619047619,0.8999999999999999
huasco,1,dann,42,21,0.5714285714285714,0.92
huasco,1,dann,42,22,0.7619047619047619,0.88
huasco,1,dann,42,23,0.6956521739130435,0.67
huasco,1,dann,42,24,0.7619047619047619,0.9199999999999999
huasco,1,dann,42,25,0.75,0.74
huasco,1,dann,42,26,0.7619047619047619,0.8200000000000001
huasco,1,dann,42,27,0.6666666666666666,0.8
huasco,1,dann,42,28,0.7058823529411765,0.89
huasco,1,dann,42,29,0.8181818181818182,0.9199999999999999
huasco,1,dann,42,30,0.7619047619047619,0.84
huasco,1,dann,42,31,0.3076923076923077,0.4800000000000001
huasco,1,dann,42,32,0.8,0.96
huasco,1,dann,42,33,0.7619047619047619,0.8899999999999999
huasco,1,dann,42,34,0.8181818181818182,0.92
huasco,1,dann,42,35,0.5333333333333333,0.63
huasco,1,dann,42,36,0.631578947368421,0.8300000000000001
huasco,1,dann,42,37,0.7619047619047619,0.89
huasco,1,dann,42,38,0.7368421052631579,0.91
huasco,1,dann,42,39,0.9090909090909091,0.96
huasco,1,dann,42,40,0.7619047619047619,0.67
huasco,1,dann,42,41,0.38095238095238093,0.56
huasco,1,dann,42,42,0.8695652173913043,0.8699999999999999
huasco,1,dann,42,43,0.75,0.67
huasco,1,dann,42,44,0.6666666666666666,0.87
huasco,1,dann,42,45,0.8888888888888888,0.99
huasco,1,dann,42,46,0.6896551724137931,0.43000000000000005
huasco,1,dann,42,47,0.8,0.8599999999999999
huasco,1,dann,42,48,0.46153846153846156,0.35
huasco,1,dann,42,49,0.46153846153846156,0.83
huasco,5,dann,42,0,0.9090909090909091,0.9800000000000001
huasco,5,dann,42,1,0.9,0.9699999999999999
huasco,5,dann,42,2,0.75,0.93
huasco,5,dann,42,3,0.9,0.99
huasco,5,dann,42,4,0.9523809523809523,0.99
huasco,5,dann,42,5,0.6363636363636364,0.75
huasco,5,dann,42,6,0.8571428571428571,0.9500000000000001
huasco,5,dann,42,7,0.8181818181818182,0.9400000000000002
huasco,5,dann,42,8,1.0,1.0
huasco,5,dann,42,9,0.9473684210526315,1.0
huasco,5,dann,42,10,1.0,1.0
