target,K,model,mode,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,1,catboost,concat_source,90,0.6695767195767194,0.6055423280423281,0.729672619047619,0.9638888888888889,0.9527777777777776,0.9740972222222222
copiapo,1,catboost,independent,90,0.6123263960364064,0.5595500125853582,0.6663850180988984,0.640707671957672,0.5940434854497355,0.6932217261904762
copiapo,1,logreg,concat_source,90,0.6962651727357608,0.6619444444444443,0.7313352007469655,0.8379629629629629,0.8004629629629632,0.8722222222222222
copiapo,1,logreg,independent,90,0.6208321559379351,0.5676242992855479,0.6697005867130997,0.6765873015873015,0.6149239417989418,0.7431316137566137
copiapo,1,rf,concat_source,90,0.6612698412698411,0.5991911375661375,0.7223683862433864,0.952314814814815,0.936099537037037,0.9666666666666667
copiapo,1,rf,independent,90,0.6199542221910643,0.5709872005693729,0.6683821310602787,0.6680224867724867,0.611090443121693,0.7201785714285712
copiapo,1,xgb,concat_source,90,0.6708465608465607,0.6052619047619047,0.73135582010582,0.9625661375661375,0.9514484126984127,0.9727579365079366
copiapo,1,xgb,independent,90,0.0,0.0,0.0,0.5,0.5,0.5
copiapo,5,catboost,concat_source,90,0.6839682539682538,0.6167962962962962,0.7470132275132276,0.9657407407407408,0.9546296296296297,0.9759259259259261
copiapo,5,catboost,independent,90,0.6264252352203848,0.563012317372934,0.6865983741228193,0.7800925925925923,0.727314814814815,0.8352695105820106
copiapo,5,logreg,concat_source,90,0.6962651727357608,0.6619444444444443,0.7313352007469655,0.8379629629629629,0.8004629629629632,0.8722222222222222
copiapo,5,logreg,independent,90,0.7423222286638179,0.6993796837359789,0.7826975864167556,0.8121031746031745,0.7642857142857143,0.8601851851851853
copiapo,5,rf,concat_source,90,0.6263064114534702,0.56815785480859,0.6844731364768128,0.9305555555555556,0.915277777777778,0.9462962962962963
copiapo,5,rf,independent,90,0.6371598262800532,0.5851124307265948,0.6869882621511233,0.7799272486772486,0.7215269510582011,0.8383721891534391
copiapo,5,xgb,concat_source,90,0.6726221599751009,0.6085525988173047,0.7338349284158107,0.9318121693121694,0.9112417328042327,0.9490757275132277
copiapo,5,xgb,independent,90,0.6198804427235799,0.5664074097652528,0.6722121223910439,0.6760582010582011,0.6365732473544975,0.7175074404761905
copiapo,10,catboost,concat_source,90,0.6872486772486772,0.6220185185185185,0.7496699735449734,0.9666666666666667,0.9546296296296297,0.9768518518518519
copiapo,10,catboost,independent,90,0.5333457900124566,0.4607716604383271,0.6085830774164107,0.7810846560846559,0.7174355158730159,0.8418320105820106
copiapo,10,logreg,concat_source,90,0.6962651727357608,0.6619444444444443,0.7313352007469655,0.8379629629629629,0.8004629629629632,0.8722222222222222
copiapo,10,logreg,independent,90,0.7688380884872115,0.7282750014767557,0.8091010101010101,0.8244047619047619,0.7800198412698415,0.8677265211640213
copiapo,10,rf,concat_source,90,0.6097657952069716,0.5542221055088702,0.6621319249922191,0.8652777777777781,0.8356481481481483,0.8921412037037038
copiapo,10,rf,independent,90,0.6188529009117245,0.5677110038654156,0.6689348874618481,0.7664351851851853,0.6999942129629629,0.8314930555555556
copiapo,10,xgb,concat_source,90,0.657219369229173,0.5883755122419339,0.7188467099802883,0.9263227513227512,0.9117063492063492,0.9398809523809523
copiapo,10,xgb,independent,90,0.6679141229141229,0.6269485653235654,0.7104226529643196,0.742096560846561,0.6948503637566138,0.7869204695767197
elqui,1,catboost,concat_source,150,0.3970091242034588,0.3487052998896938,0.44418206608887345,0.6847200671773176,0.6559377072731571,0.7140835636913577
elqui,1,catboost,independent,150,0.4003959341873751,0.3547091256734135,0.44403233634768213,0.5784565571222263,0.5426299078613828,0.6154084587631872
elqui,1,logreg,concat_source,150,0.47327883812568833,0.43554588751106915,0.5127711414673906,0.6233779522545556,0.6031164607522385,0.6440786374820854
elqui,1,logreg,independent,150,0.3885151046683125,0.3459464113262832,0.43192164417591794,0.6244363069686159,0.5880943144547024,0.6617361071683467
elqui,1,rf,concat_source,150,0.41091714398485396,0.3650714588482081,0.45955629836147216,0.669553940786387,0.6386387392252453,0.6998381035008475
elqui,1,rf,independent,150,0.45440537619628574,0.40858847378522534,0.4999822085437079,0.6619782086130995,0.6295973674806971,0.6967825433000109
elqui,1,xgb,concat_source,150,0.36854980706644025,0.324726159731436,0.41395799982573706,0.7007778546748936,0.6695095190956979,0.7294655679772718
elqui,1,xgb,independent,150,0.0,0.0,0.0,0.5,0.5,0.5
elqui,5,catboost,concat_source,150,0.41697333992246943,0.37171771156788874,0.4638213940678162,0.6845946184230501,0.653515882982808,0.7149969925337949
elqui,5,catboost,independent,150,0.47146181389474523,0.4245390728807029,0.5200077188415918,0.7450324200223519,0.7182485041911664,0.7702433683349513
elqui,5,logreg,concat_source,150,0.47327883812568833,0.43554588751106915,0.5127711414673906,0.6255391184207109,0.6051370042939728,0.6458143676101855
elqui,5,logreg,independent,150,0.49721280906041027,0.45158388945977995,0.5457053661523149,0.7887319770819687,0.7675986134606142,0.8116578644616709
elqui,5,rf,concat_source,150,0.4166075303748432,0.3697360333855779,0.46437477093957374,0.6839814605808984,0.6547812799741635,0.712803021890607
elqui,5,rf,independent,150,0.4897871412834896,0.44540835512959165,0.5366761661735696,0.774863446203447,0.7546013705357353,0.7966318736114566
elqui,5,xgb,concat_source,150,0.4177517412963097,0.37136800879008774,0.46658017771207516,0.7066960020361363,0.678530501475214,0.7326598889339309
elqui,5,xgb,independent,150,0.4593386726900314,0.41226472156425453,0.5095320552473115,0.6916920711037902,0.6617063341923094,0.721172189660169
elqui,10,catboost,concat_source,150,0.4508107126362909,0.40785677952716276,0.4969082878590865,0.6930123727573628,0.6623763368585538,0.7230547842703612
elqui,10,catboost,independent,150,0.5257938060468401,0.47747449596281794,0.5707256053975793,0.8113989251415289,0.7940939750588154,0.8285567933533441
elqui,10,logreg,concat_source,150,0.47327883812568833,0.43554588751106915,0.5127711414673906,0.6286415701554632,0.6086527955354649,0.6488735412666227
elqui,10,logreg,independent,150,0.5425376031137109,0.4940545534940715,0.5942687616740908,0.8069558465691982,0.7853038784380811,0.8278336029062735
elqui,10,rf,concat_source,150,0.4393831496424694,0.3937778713119532,0.48558676994882116,0.6977532600582825,0.6670245420096067,0.7270467540412672
elqui,10,rf,independent,150,0.5584976792563865,0.512348986400003,0.6065182106767898,0.8209304917040653,0.8044830852205744,0.8369937574620073
elqui,10,xgb,concat_source,150,0.422204337288908,0.3766986217354189,0.47062851926152144,0.7193934712292909,0.6907610257395275,0.746262202027378
elqui,10,xgb,independent,150,0.5357281696419386,0.4951609155436307,0.5779306984150889,0.7746734384280923,0.7459949690277221,0.8039116561646742
elqui,20,catboost,concat_source,150,0.46653031204911655,0.42243000993190516,0.5092527120247288,0.6973127436100033,0.6673996773522849,0.7258444950187044
elqui,20,catboost,independent,150,0.5464835818912795,0.4998694924038059,0.5946849626310241,0.8266189918298426,0.8106319379093526,0.8427689495266385
elqui,20,logreg,concat_source,150,0.47336552921237945,0.4357011999527423,0.5127711414673906,0.6318206746326518,0.6121898329853855,0.652451245962243
elqui,20,logreg,independent,150,0.5491918986877713,0.4938189010598631,0.6025961039767076,0.8380046218725963,0.8171596275289083,0.8580043654791241
elqui,20,rf,concat_source,150,0.49699703591978467,0.4541941050158572,0.5405880407544833,0.7382643669843154,0.710575883990251,0.7638852611547731
elqui,20,rf,independent,150,0.571638420552738,0.5231833092517232,0.6165463329226462,0.85068724598416,0.8349682845386506,0.8654031854596355
elqui,20,xgb,concat_source,150,0.462754223164791,0.4144601620895691,0.5103792989752189,0.7432438974345229,0.7156745051106524,0.7690675839162673
elqui,20,xgb,independent,150,0.5812963454247424,0.5375114442940127,0.627067671812484,0.8137532905950239,0.7907613538038276,0.8363875574619264
huasco,1,catboost,concat_source,60,0.6575752185232971,0.6427689884655842,0.671187106799923,0.7208648627276797,0.7150568661256982,0.7264453611074656
huasco,1,catboost,independent,60,0.6938844460360503,0.6407308569719988,0.7370872221250547,0.6621024166927449,0.6295814755764967,0.6918332843315397
huasco,1,logreg,concat_source,60,0.7740707568293774,0.765054485744141,0.7819599940289599,0.6987482095768153,0.690490624533817,0.7079932068372015
