target,K,method,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
huasco,1,finetune_cnn,90,0.7851755537900622,0.7458381316425678,0.8214742295253837,0.758051860675446,0.7352893242313848,0.7805469388109908
huasco,1,fomaml_cnn,90,0.8189650942306081,0.7927129010550666,0.8425376775278905,0.7710488327992441,0.7493406680161904,0.7943002167669229
huasco,1,independent_cnn,90,0.7765278082127492,0.7348609804486541,0.8114414404511838,0.6967609323772446,0.6702452568974523,0.721191780821918
huasco,1,reptile_cnn,90,0.8155978272084459,0.7874470698173006,0.8402722201039576,0.7638875279616338,0.7416400475464614,0.786971716524648
huasco,5,finetune_cnn,90,0.8942844407119804,0.8738983269564373,0.9153264788697026,0.8953592193661445,0.8722475157936728,0.9171736759794845
huasco,5,fomaml_cnn,90,0.8806729133562727,0.8594660766227865,0.9006274675153708,0.8833567495075051,0.8588654729717603,0.9054704573631586
huasco,5,independent_cnn,90,0.8615023138954834,0.8357584284218569,0.884944859301966,0.8617643711487909,0.8346447347304151,0.8853103000134223
huasco,5,reptile_cnn,90,0.8701764422719904,0.8447051010771319,0.893859974926557,0.8848970172512487,0.8608400949499129,0.9059654664709026
huasco,10,finetune_cnn,90,0.9212079110876835,0.8981708920129722,0.9402599728137404,0.9440945113504696,0.9286805391982568,0.9582296646062077
huasco,10,fomaml_cnn,90,0.9228105940375171,0.9070693812582461,0.9364562312403023,0.9392534519508554,0.9235636016173349,0.9532511658547836
huasco,10,independent_cnn,90,0.915720090380157,0.8987747258926128,0.9319074375737165,0.9330009717170153,0.9158730424519572,0.9477730338573651
huasco,10,reptile_cnn,90,0.9046710879295017,0.8803224938915473,0.9253106090460369,0.9422321609169361,0.9269574015281269,0.9555797750366686
huasco,20,finetune_cnn,90,0.9335138877450313,0.9183892117856239,0.9481679246585716,0.9626591125856983,0.9543255001033781,0.971020419890924
huasco,20,fomaml_cnn,90,0.9384193833072539,0.9263302455235263,0.9514932547468773,0.9648840734870807,0.9577685043344039,0.9714836269515192
huasco,20,independent_cnn,90,0.9292538636001064,0.9142067098440553,0.9433619684757839,0.9494410028687899,0.9417390605190141,0.9572352264382924
huasco,20,reptile_cnn,90,0.930695294584817,0.9141465328944683,0.9455669141372836,0.9598611629871157,0.9505815646653557,0.9681224941085684
