target,K,model,mode,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,1,catboost,concat_source,150,0.6631983856070542,0.6473063753526601,0.6798291345193048,0.8056666666666666,0.793265,0.8177366666666667
copiapo,1,catboost,independent,150,0.6450544396623119,0.6149125783671555,0.6731152115723982,0.6863,0.6551958333333333,0.7161483333333334
copiapo,1,logreg,concat_source,150,0.6741302802331204,0.660332164438713,0.6863297658122028,0.7104,0.6959216666666667,0.7241350000000001
copiapo,1,logreg,independent,150,0.6010720254323174,0.5738828300375733,0.6275643643130271,0.6666000000000001,0.6336566666666668,0.6990133333333333
copiapo,1,rf,concat_source,150,0.6291924418890363,0.6134194849869773,0.6460882469654528,0.7923333333333334,0.7811333333333332,0.803535
copiapo,1,rf,independent,150,0.618846598380174,0.5956518656511375,0.6435023058776963,0.6596333333333333,0.6344316666666667,0.6833999999999999
copiapo,1,xgb,concat_source,150,0.6698762611657348,0.6545165863848913,0.685307841546425,0.8108000000000001,0.7996666666666667,0.8219366666666668
copiapo,1,xgb,independent,150,0.0,0.0,0.0,0.5,0.5,0.5
copiapo,5,catboost,concat_source,150,0.6752028541347427,0.660714104836512,0.6893648295389394,0.8126666666666668,0.8016599999999999,0.8236
copiapo,5,catboost,independent,150,0.7800721961240559,0.7612191467450928,0.7977207296596678,0.8905333333333332,0.8776566666666668,0.9039349999999998
copiapo,5,logreg,concat_source,150,0.6674779571833819,0.6564431550730917,0.6783250149858617,0.6980000000000001,0.6840666666666667,0.7116666666666667
copiapo,5,logreg,independent,150,0.7900794732181863,0.7731438543450911,0.8063027936506516,0.8906000000000001,0.8764616666666668,0.9038033333333333
copiapo,5,rf,concat_source,150,0.6577987701564226,0.6417207926726383,0.6745547205618027,0.8244,0.8138666666666667,0.8352666666666665
copiapo,5,rf,independent,150,0.8002291246592272,0.7829260217851618,0.8172746575442956,0.8936666666666667,0.8815325000000002,0.9051033333333335
copiapo,5,xgb,concat_source,150,0.696165980905919,0.6818314450899977,0.7109459235395381,0.8210666666666667,0.8085216666666667,0.8326683333333333
copiapo,5,xgb,independent,150,0.6830887414208229,0.6619087140946925,0.7030894284511132,0.7413666666666667,0.7233308333333334,0.760735
elqui,1,catboost,concat_source,150,0.700822383110376,0.6823339175475567,0.7176975303993727,0.7776,0.7607916666666668,0.7955399999999999
elqui,1,catboost,independent,150,0.6420894623762955,0.6143461846100104,0.6671979222002832,0.6800666666666668,0.6525183333333333,0.7050741666666667
elqui,1,logreg,concat_source,150,0.6678514865364599,0.6546989518801113,0.681585659546121,0.6388666666666666,0.620865,0.6595416666666666
elqui,1,logreg,independent,150,0.6311869030765237,0.6022788760986301,0.658217598163403,0.6975333333333334,0.6673950000000001,0.7272066666666667
elqui,1,rf,concat_source,150,0.626840955358387,0.6050010491665796,0.6483523497449615,0.7124666666666667,0.6931283333333333,0.7314700000000001
elqui,1,rf,independent,150,0.6634911350476872,0.6409401615897111,0.6846452776533856,0.6998333333333333,0.6736891666666667,0.7275050000000001
elqui,1,xgb,concat_source,150,0.6022419339284327,0.5760610791216306,0.6249824868365235,0.7836666666666666,0.7665966666666667,0.7998
elqui,1,xgb,independent,150,0.0,0.0,0.0,0.5,0.5,0.5
elqui,5,catboost,concat_source,150,0.6937925851856125,0.6739406208661493,0.713346140480208,0.7755333333333333,0.7572616666666666,0.7925366666666667
elqui,5,catboost,independent,150,0.7312903639786128,0.7118159603345533,0.7485497616629967,0.8432333333333333,0.8236891666666668,0.8609683333333332
elqui,5,logreg,concat_source,150,0.6805289400149813,0.6678731525271915,0.694259002583709,0.6379333333333334,0.6183966666666667,0.6586666666666667
elqui,5,logreg,independent,150,0.7443542230851762,0.7264170679031595,0.761972848489395,0.8337333333333334,0.8173316666666667,0.8494016666666666
elqui,5,rf,concat_source,150,0.6740596148157192,0.656143171088308,0.6910203864507688,0.7462666666666666,0.7295933333333333,0.7634016666666668
elqui,5,rf,independent,150,0.7328938743348353,0.7145035492991351,0.7508199684812626,0.8403,0.8247958333333333,0.8552016666666666
elqui,5,xgb,concat_source,150,0.666516788677389,0.6466875872280354,0.6882218941499814,0.7898666666666668,0.7757266666666666,0.8045350000000001
elqui,5,xgb,independent,150,0.6924375890876496,0.6702063519375984,0.7146801555746093,0.7402666666666667,0.7206325,0.7589358333333334
