target,mean_dist,fomaml_lift_K5
copiapo,461.5397082924843,0.03810992317700246
huasco,458.0170917153358,0.011924754809770843
elqui,450.5034877419472,0.015421882888248084
limari,437.3752406716347,0.028952172499657314
